Unnamed: 0,SEASON_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,PTS,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PLUS_MINUS,homeStarter1,homeStarter2,homeStarter3,homeStarter4,homeStarter5,awayStarter1,awayStarter2,awayStarter3,awayStarter4,awayStarter5
0,22020,1610612757,POR,Portland Trail Blazers,22000535,2021-03-01,POR vs. CHA,W,239,123,46,86,0.535,24,46,0.522,7,10,0.7,8,30,38,26,12,7,15,15,12.0,damianlillard,derrickjonesjr,garytrentjr,eneskanter,robertcovington,pjwashington,codymartin,lameloball,terryrozier,bismackbiyombo
1,22020,1610612757,POR,Portland Trail Blazers,22000512,2021-02-26,POR @ LAL,L,241,93,32,83,0.386,11,37,0.297,18,20,0.9,10,35,45,19,5,5,15,21,-9.0,dennisschroder,lebronjames,markieffmorris,kentaviouscaldwellpope,marcgasol,damianlillard,derrickjonesjr,garytrentjr,eneskanter,robertcovington
2,22020,1610612757,POR,Portland Trail Blazers,22000487,2021-02-23,POR @ DEN,L,239,106,41,87,0.47100000000000003,14,41,0.341,10,10,1.0,7,40,47,21,0,7,9,19,-5.0,michaelporterjr,jamalmurray,montemorris,willbarton,nikolajokic,damianlillard,derrickjonesjr,garytrentjr,eneskanter,robertcovington
3,22020,1610612757,POR,Portland Trail Blazers,22000477,2021-02-22,POR @ PHX,L,241,100,37,84,0.44,12,39,0.308,14,19,0.737,13,33,46,15,6,6,16,17,-32.0,frankkaminsky,mikalbridges,chrispaul,deandreayton,devinbooker,damianlillard,derrickjonesjr,garytrentjr,eneskanter,robertcovington
4,22020,1610612757,POR,Portland Trail Blazers,22000464,2021-02-20,POR vs. WAS,L,241,111,37,103,0.359,19,55,0.345,18,25,0.72,17,33,50,19,10,7,12,22,-7.0,damianlillard,derrickjonesjr,garytrentjr,eneskanter,robertcovington,bradleybeal,moritzwagner,russellwestbrook,ruihachimura,garrisonmathews
5,22020,1610612757,POR,Portland Trail Blazers,22000441,2021-02-17,POR @ NOP,W,241,126,46,90,0.511,18,41,0.439,16,18,0.889,7,24,31,26,6,7,9,19,2.0,ericbledsoe,stevenadams,lonzoball,zionwilliamson,brandoningram,damianlillard,derrickjonesjr,garytrentjr,eneskanter,robertcovington
6,22020,1610612757,POR,Portland Trail Blazers,22000432,2021-02-16,POR @ OKC,W,241,115,42,96,0.43799999999999994,20,47,0.426,11,17,0.647,15,39,54,26,6,8,10,23,11.0,kenrichwilliams,luguentzdort,theomaledon,alhorford,dariusbazley,damianlillard,derrickjonesjr,garytrentjr,eneskanter,robertcovington
7,22020,1610612757,POR,Portland Trail Blazers,22000411,2021-02-14,POR @ DAL,W,239,121,45,85,0.529,18,40,0.45,13,19,0.684,10,26,36,15,7,2,15,23,3.0,joshrichardson,kristapsporzingis,lukadoncic,maxikleber,dorianfinneysmith,damianlillard,derrickjonesjr,garytrentjr,eneskanter,robertcovington
8,22020,1610612757,POR,Portland Trail Blazers,22000404,2021-02-12,POR vs. CLE,W,238,129,43,83,0.518,13,35,0.371,30,33,0.909,9,36,45,16,3,4,14,29,19.0,damianlillard,derrickjonesjr,garytrentjr,eneskanter,robertcovington,andredrummond,collinsexton,taureanprince,dariusgarland,isaacokoro
9,22020,1610612757,POR,Portland Trail Blazers,22000394,2021-02-11,POR vs. PHI,W,240,118,40,93,0.43,17,38,0.447,21,23,0.9129999999999999,15,32,47,15,5,2,8,21,4.0,damianlillard,derrickjonesjr,garytrentjr,eneskanter,robertcovington,joelembiid,bensimmons,dannygreen,tobiasharris,sethcurry
10,22020,1610612757,POR,Portland Trail Blazers,22000380,2021-02-09,POR vs. ORL,W,240,106,35,90,0.389,18,46,0.391,18,19,0.9470000000000001,9,45,54,18,6,6,8,17,9.0,damianlillard,derrickjonesjr,garytrentjr,eneskanter,robertcovington,dwaynebacon,jamesennis,coleanthony,garyclark,nikolavucevic
11,22020,1610612757,POR,Portland Trail Blazers,22000351,2021-02-06,POR @ NYK,L,240,99,37,89,0.41600000000000004,17,47,0.36200000000000004,8,16,0.5,11,30,41,15,7,7,11,15,-11.0,elfridpayton,reggiebullock,juliusrandle,rjbarrett,mitchellrobinson,damianlillard,garytrentjr,eneskanter,robertcovington,rodneyhood
12,22020,1610612757,POR,Portland Trail Blazers,22000337,2021-02-04,POR @ PHI,W,240,121,45,98,0.45899999999999996,13,31,0.419,18,23,0.7829999999999999,19,34,53,17,8,5,11,18,16.0,joelembiid,dannygreen,tobiasharris,sethcurry,furkankorkmaz,garytrentjr,carmeloanthony,eneskanter,robertcovington,rodneyhood
13,22020,1610612757,POR,Portland Trail Blazers,22000559,2021-02-02,POR @ WAS,W,241,132,44,95,0.46299999999999997,21,46,0.457,23,23,1.0,14,30,44,19,6,1,9,19,11.0,bradleybeal,robinlopez,russellwestbrook,ruihachimura,deniavdija,damianlillard,garytrentjr,eneskanter,robertcovington,rodneyhood
14,22020,1610612757,POR,Portland Trail Blazers,22000316,2021-02-01,POR @ MIL,L,239,106,39,104,0.375,15,42,0.35700000000000004,13,13,1.0,14,31,45,19,8,6,11,10,-28.0,jrueholiday,dontedivincenzo,khrismiddleton,giannisantetokounmpo,brooklopez,nassirlittle,damianlillard,garytrentjr,eneskanter,robertcovington
15,22020,1610612757,POR,Portland Trail Blazers,22000298,2021-01-30,POR @ CHI,W,239,123,45,88,0.511,17,42,0.405,16,19,0.8420000000000001,9,26,35,20,11,1,8,17,1.0,patrickwilliams,danielgafford,cobywhite,zachlavine,laurimarkkanen,nassirlittle,damianlillard,garytrentjr,eneskanter,robertcovington
16,22020,1610612757,POR,Portland Trail Blazers,22000287,2021-01-28,POR @ HOU,L,241,101,39,93,0.419,17,41,0.415,6,8,0.75,10,39,49,16,6,7,15,16,-3.0,jaeseantate,johnwall,victoroladipo,christianwood,pjtucker,damianlillard,derrickjonesjr,garytrentjr,carmeloanthony,eneskanter
17,22020,1610612757,POR,Portland Trail Blazers,22000267,2021-01-25,POR vs. OKC,L,241,122,46,98,0.469,14,41,0.341,16,21,0.762,15,35,50,17,6,3,8,23,-3.0,damianlillard,derrickjonesjr,garytrentjr,carmeloanthony,eneskanter,luguentzdort,shaigilgeousalexander,theomaledon,dariusbazley,isaiahroby
18,22020,1610612757,POR,Portland Trail Blazers,22000256,2021-01-24,POR vs. NYK,W,240,116,39,83,0.47,17,46,0.37,21,23,0.9129999999999999,9,30,39,19,5,8,11,16,3.0,damianlillard,derrickjonesjr,eneskanter,robertcovington,rodneyhood,elfridpayton,alecburks,juliusrandle,rjbarrett,mitchellrobinson
19,22020,1610612757,POR,Portland Trail Blazers,22000207,2021-01-18,POR vs. SAS,L,240,104,39,90,0.433,10,35,0.28600000000000003,16,19,0.8420000000000001,8,26,34,20,9,6,13,15,-21.0,damianlillard,derrickjonesjr,eneskanter,robertcovington,rodneyhood,dejountemurray,demarderozan,lamarcusaldridge,lonniewalker,keldonjohnson
20,22020,1610612757,POR,Portland Trail Blazers,22000195,2021-01-16,POR vs. ATL,W,241,112,40,103,0.38799999999999996,15,44,0.341,17,20,0.85,17,38,55,18,6,8,7,20,6.0,damianlillard,derrickjonesjr,eneskanter,cjmccollum,robertcovington,deandrehunter,clintcapela,traeyoung,kevinhuerter,johncollins
21,22020,1610612757,POR,Portland Trail Blazers,22000178,2021-01-14,POR vs. IND,L,240,87,32,87,0.368,13,43,0.302,10,10,1.0,14,29,43,16,8,5,18,22,-24.0,damianlillard,derrickjonesjr,jusufnurkic,cjmccollum,robertcovington,edmondsumner,justinholiday,domantassabonis,malcolmbrogdon,mylesturner
22,22020,1610612757,POR,Portland Trail Blazers,22000173,2021-01-13,POR @ SAC,W,239,132,44,90,0.489,23,48,0.479,21,27,0.778,12,26,38,28,9,8,8,24,6.0,harrisonbarnes,marvinbagleyiii,buddyhield,deaaronfox,richaunholmes,damianlillard,derrickjonesjr,jusufnurkic,cjmccollum,robertcovington
23,22020,1610612757,POR,Portland Trail Blazers,22000155,2021-01-11,POR vs. TOR,W,241,112,38,83,0.45799999999999996,14,42,0.33299999999999996,22,25,0.88,8,34,42,18,9,6,13,14,1.0,damianlillard,derrickjonesjr,jusufnurkic,cjmccollum,robertcovington,pascalsiakam,kylelowry,alexlen,oganunoby,fredvanvleet
24,22020,1610612757,POR,Portland Trail Blazers,22000140,2021-01-09,POR @ SAC,W,243,125,44,100,0.44,17,41,0.415,20,23,0.87,9,41,50,26,10,5,8,27,26.0,harrisonbarnes,marvinbagleyiii,buddyhield,tyresehaliburton,deaaronfox,damianlillard,derrickjonesjr,jusufnurkic,cjmccollum,robertcovington
25,22020,1610612757,POR,Portland Trail Blazers,22000122,2021-01-07,POR vs. MIN,W,240,135,49,90,0.544,18,41,0.439,19,23,0.826,6,38,44,25,10,6,15,23,18.0,damianlillard,derrickjonesjr,jusufnurkic,cjmccollum,robertcovington,dangelorussell,malikbeasley,jarrettculver,juanhernangomez,eddavis
26,22020,1610612757,POR,Portland Trail Blazers,22000106,2021-01-05,POR vs. CHI,L,241,108,39,94,0.415,19,51,0.373,11,17,0.647,10,36,46,23,8,3,11,16,1.0,damianlillard,derrickjonesjr,jusufnurkic,cjmccollum,robertcovington,ottoporter,patrickwilliams,cobywhite,zachlavine,wendellcarterjr
27,22020,1610612757,POR,Portland Trail Blazers,22000092,2021-01-03,POR @ GSW,L,239,122,41,98,0.418,14,43,0.326,26,33,0.7879999999999999,12,28,40,16,7,2,12,27,-15.0,kellyoubrejr,draymondgreen,andrewwiggins,jameswiseman,stephencurry,damianlillard,derrickjonesjr,jusufnurkic,cjmccollum,robertcovington
28,22020,1610612757,POR,Portland Trail Blazers,22000078,2021-01-01,POR @ GSW,W,240,123,40,92,0.435,20,43,0.465,23,30,0.767,8,43,51,23,11,3,10,27,25.0,kellyoubrejr,draymondgreen,andrewwiggins,jameswiseman,stephencurry,damianlillard,derrickjonesjr,jusufnurkic,cjmccollum,robertcovington
29,22020,1610612757,POR,Portland Trail Blazers,22000061,2020-12-30,POR @ LAC,L,239,105,32,76,0.42100000000000004,12,38,0.316,29,34,0.853,5,36,41,14,5,4,17,17,-23.0,patrickbeverley,kawhileonard,nicolasbatum,sergeibaka,paulgeorge,damianlillard,derrickjonesjr,jusufnurkic,cjmccollum,robertcovington
30,22020,1610612757,POR,Portland Trail Blazers,22000045,2020-12-28,POR @ LAL,W,241,115,43,92,0.467,16,46,0.348,13,15,0.867,7,38,45,27,9,6,9,16,8.0,dennisschroder,lebronjames,anthonydavis,kentaviouscaldwellpope,marcgasol,damianlillard,derrickjonesjr,jusufnurkic,cjmccollum,robertcovington
31,22020,1610612757,POR,Portland Trail Blazers,22000029,2020-12-26,POR vs. HOU,W,264,128,47,102,0.461,19,45,0.42200000000000004,15,23,0.652,11,34,45,27,10,5,13,20,2.0,damianlillard,derrickjonesjr,jusufnurkic,cjmccollum,robertcovington,davidnwaba,jamesharden,christianwood,pjtucker,danuelhouse
32,22020,1610612757,POR,Portland Trail Blazers,22000020,2020-12-23,POR vs. UTA,L,239,100,37,92,0.402,12,33,0.364,14,17,0.8240000000000001,6,34,40,23,6,3,6,18,-20.0,damianlillard,derrickjonesjr,jusufnurkic,cjmccollum,robertcovington,royceoneale,donovanmitchell,rudygobert,bojanbogdanovic,mikeconley
33,12020,1610612757,POR,Portland Trail Blazers,12000045,2020-12-18,POR @ DEN,L,240,96,33,89,0.371,10,33,0.303,20,23,0.87,11,31,42,17,3,1,15,24,-33.6,paulmillsap,garyharris,jamalmurray,willbarton,nikolajokic,derrickjonesjr,jusufnurkic,cjmccollum,robertcovington,rodneyhood
34,12020,1610612757,POR,Portland Trail Blazers,12000030,2020-12-16,POR @ DEN,L,239,95,37,98,0.37799999999999995,9,34,0.265,12,16,0.75,10,23,33,20,13,5,16,22,-31.0,paulmillsap,garyharris,michaelporterjr,jamalmurray,nikolajokic,damianlillard,derrickjonesjr,jusufnurkic,cjmccollum,robertcovington
35,12020,1610612757,POR,Portland Trail Blazers,12000017,2020-12-13,POR vs. SAC,L,241,106,36,90,0.4,12,30,0.4,22,27,0.815,11,31,42,19,11,5,11,29,-4.0,damianlillard,derrickjonesjr,jusufnurkic,cjmccollum,robertcovington,harrisonbarnes,buddyhield,nemanjabjelica,deaaronfox,richaunholmes
36,12020,1610612757,POR,Portland Trail Blazers,12000005,2020-12-11,POR vs. SAC,W,241,127,47,92,0.511,17,34,0.5,16,22,0.727,8,47,55,22,8,9,20,21,25.0,damianlillard,derrickjonesjr,eneskanter,cjmccollum,robertcovington,harrisonbarnes,buddyhield,nemanjabjelica,deaaronfox,richaunholmes
37,42019,1610612757,POR,Portland Trail Blazers,41900145,2020-08-29,POR @ LAL,L,239,122,44,93,0.473,13,27,0.48100000000000004,21,26,0.8079999999999999,10,33,43,20,12,1,19,28,-9.0,lebronjames,anthonydavis,dannygreen,kentaviouscaldwellpope,javalemcgee,garytrentjr,jusufnurkic,carmeloanthony,cjmccollum,hassanwhiteside
38,42019,1610612757,POR,Portland Trail Blazers,41900144,2020-08-24,POR vs. LAL,L,241,115,40,89,0.449,12,28,0.429,23,31,0.742,17,25,42,20,9,2,17,27,-20.0,damianlillard,jusufnurkic,carmeloanthony,cjmccollum,hassanwhiteside,lebronjames,anthonydavis,dannygreen,kentaviouscaldwellpope,javalemcgee
39,42019,1610612757,POR,Portland Trail Blazers,41900143,2020-08-22,POR vs. LAL,L,240,108,39,95,0.41100000000000003,12,35,0.34299999999999997,18,19,0.9470000000000001,7,31,38,17,7,4,11,25,-8.0,damianlillard,jusufnurkic,carmeloanthony,cjmccollum,hassanwhiteside,lebronjames,anthonydavis,dannygreen,kentaviouscaldwellpope,javalemcgee
40,42019,1610612757,POR,Portland Trail Blazers,41900142,2020-08-20,POR @ LAL,L,241,88,34,85,0.4,8,29,0.276,12,16,0.75,10,31,41,14,6,3,17,17,-23.0,lebronjames,anthonydavis,dannygreen,kentaviouscaldwellpope,javalemcgee,wenyengabriel,damianlillard,jusufnurkic,carmeloanthony,cjmccollum
41,42019,1610612757,POR,Portland Trail Blazers,41900141,2020-08-18,POR @ LAL,W,241,100,31,79,0.392,13,34,0.382,25,33,0.758,5,45,50,18,3,8,16,28,7.0,lebronjames,anthonydavis,dannygreen,kentaviouscaldwellpope,javalemcgee,wenyengabriel,damianlillard,jusufnurkic,carmeloanthony,cjmccollum
42,52019,1610612757,POR,Portland Trail Blazers,51900111,2020-08-15,POR vs. MEM,W,240,126,38,84,0.452,15,40,0.375,35,41,0.8540000000000001,9,30,39,20,12,7,13,19,4.0,damianlillard,jusufnurkic,carmeloanthony,cjmccollum,zachcollins,anthonytolliver,jamorant,dillonbrooks,jonasvalanciunas,kyleanderson
43,22019,1610612757,POR,Portland Trail Blazers,21901309,2020-08-13,POR @ BKN,W,240,134,50,104,0.48100000000000004,13,39,0.33299999999999996,21,24,0.875,14,28,42,25,10,4,9,21,1.0,rodionskurucs,carislevert,jarrettallen,joeharris,garretttemple,damianlillard,jusufnurkic,carmeloanthony,cjmccollum,zachcollins
44,22019,1610612757,POR,Portland Trail Blazers,21901300,2020-08-11,POR @ DAL,W,241,134,46,98,0.469,15,38,0.395,27,29,0.9309999999999999,12,36,48,18,9,3,8,31,3.0,treyburke,timhardawayjr,kristapsporzingis,lukadoncic,dorianfinneysmith,damianlillard,jusufnurkic,carmeloanthony,cjmccollum,zachcollins
45,22019,1610612757,POR,Portland Trail Blazers,21901289,2020-08-09,POR vs. PHI,W,240,124,43,91,0.473,11,35,0.314,27,29,0.9309999999999999,7,34,41,19,8,6,10,16,3.0,damianlillard,jusufnurkic,carmeloanthony,cjmccollum,zachcollins,joelembiid,shakemilton,joshrichardson,alhorford,tobiasharris
46,22019,1610612757,POR,Portland Trail Blazers,21901280,2020-08-08,POR vs. LAC,L,241,117,44,90,0.489,17,43,0.395,12,17,0.706,9,32,41,24,5,2,11,26,-5.0,damianlillard,jusufnurkic,carmeloanthony,cjmccollum,zachcollins,ivicazubac,marcusmorris,landryshamet,reggiejackson,paulgeorge
47,22019,1610612757,POR,Portland Trail Blazers,21901272,2020-08-06,POR @ DEN,W,241,125,43,92,0.467,23,39,0.59,16,20,0.8,13,26,39,30,7,6,9,18,10.0,torreycraig,jeramigrant,michaelporterjr,montemorris,nikolajokic,damianlillard,jusufnurkic,carmeloanthony,cjmccollum,zachcollins
48,22019,1610612757,POR,Portland Trail Blazers,21901261,2020-08-04,POR vs. HOU,W,240,110,39,95,0.41100000000000003,12,31,0.387,20,29,0.69,15,49,64,18,7,5,12,21,8.0,damianlillard,jusufnurkic,carmeloanthony,cjmccollum,zachcollins,russellwestbrook,jamesharden,pjtucker,danuelhouse,robertcovington
49,22019,1610612757,POR,Portland Trail Blazers,21901245,2020-08-02,POR @ BOS,L,240,124,45,90,0.5,19,42,0.452,15,16,0.938,9,26,35,31,8,5,12,25,-4.0,danieltheis,jaysontatum,gordonhayward,kembawalker,jaylenbrown,damianlillard,jusufnurkic,carmeloanthony,cjmccollum,zachcollins
50,22019,1610612757,POR,Portland Trail Blazers,21901234,2020-07-31,POR vs. MEM,W,265,140,49,91,0.5379999999999999,13,30,0.433,29,34,0.853,9,33,42,27,10,9,16,36,5.0,damianlillard,jusufnurkic,carmeloanthony,cjmccollum,zachcollins,jamorant,jarenjacksonjr,dillonbrooks,jonasvalanciunas,kyleanderson
51,12019,1610612757,POR,Portland Trail Blazers,11900131,2020-07-28,POR vs. OKC,L,239,120,45,92,0.489,18,37,0.486,12,22,0.545,14,33,47,28,7,5,21,24,-11.0,anferneesimons,garytrentjr,jusufnurkic,carmeloanthony,zachcollins,danilogallinari,luguentzdort,shaigilgeousalexander,stevenadams,andreroberson
52,12019,1610612757,POR,Portland Trail Blazers,11900121,2020-07-26,POR @ TOR,L,241,104,36,86,0.419,7,28,0.25,25,34,0.735,12,38,50,22,5,9,14,27,-6.0,sergeibaka,pascalsiakam,kylelowry,marcgasol,fredvanvleet,garytrentjr,jusufnurkic,carmeloanthony,cjmccollum,hassanwhiteside
53,12019,1610612757,POR,Portland Trail Blazers,11900106,2020-07-23,POR @ IND,L,240,88,33,80,0.413,5,26,0.192,17,20,0.85,5,32,37,17,10,7,13,17,-7.0,jakarrsampson,victoroladipo,malcolmbrogdon,alizejohnson,tjwarren,damianlillard,jusufnurkic,carmeloanthony,cjmccollum,zachcollins
54,22019,1610612757,POR,Portland Trail Blazers,21900966,2020-03-10,POR vs. PHX,W,240,121,45,89,0.506,17,35,0.486,14,17,0.8240000000000001,9,37,46,20,9,9,11,17,16.0,trevorariza,damianlillard,carmeloanthony,cjmccollum,hassanwhiteside,aronbaynes,dariosaric,mikalbridges,rickyrubio,devinbooker
55,22019,1610612757,POR,Portland Trail Blazers,21900945,2020-03-07,POR vs. SAC,L,240,111,42,89,0.47200000000000003,10,39,0.256,17,26,0.654,10,31,41,22,9,3,11,16,-12.0,trevorariza,damianlillard,carmeloanthony,cjmccollum,hassanwhiteside,harrisonbarnes,bogdanbogdanovic,nemanjabjelica,deaaronfox,Harry Giles III
56,22019,1610612757,POR,Portland Trail Blazers,21900938,2020-03-06,POR @ PHX,L,240,117,43,87,0.494,13,32,0.406,18,24,0.75,9,30,39,26,6,6,16,19,-10.0,aronbaynes,dariosaric,mikalbridges,rickyrubio,devinbooker,trevorariza,damianlillard,carmeloanthony,cjmccollum,hassanwhiteside
57,22019,1610612757,POR,Portland Trail Blazers,21900925,2020-03-04,POR vs. WAS,W,241,125,42,81,0.519,13,31,0.419,28,32,0.875,7,40,47,24,7,11,15,24,21.0,trevorariza,damianlillard,carmeloanthony,cjmccollum,hassanwhiteside,bradleybeal,moritzwagner,ruihachimura,jeromerobinson,shabazznapier
58,22019,1610612757,POR,Portland Trail Blazers,21900904,2020-03-02,POR @ ORL,W,240,130,49,88,0.557,16,33,0.485,16,16,1.0,6,43,49,27,6,4,11,24,23.0,jamesennis,evanfournier,garyclark,nikolavucevic,markellefultz,trevorariza,garytrentjr,carmeloanthony,cjmccollum,hassanwhiteside
59,22019,1610612757,POR,Portland Trail Blazers,21900888,2020-02-29,POR @ ATL,L,240,117,47,94,0.5,8,28,0.28600000000000003,15,21,0.7140000000000001,13,29,42,14,9,4,17,26,-12.0,camreddish,deandrehunter,traeyoung,kevinhuerter,johncollins,trevorariza,garytrentjr,carmeloanthony,cjmccollum,hassanwhiteside
60,22019,1610612757,POR,Portland Trail Blazers,21900874,2020-02-27,POR @ IND,L,240,100,41,89,0.461,9,30,0.3,9,14,0.643,10,35,45,14,5,5,14,21,-6.0,domantassabonis,victoroladipo,malcolmbrogdon,mylesturner,tjwarren,trevorariza,garytrentjr,carmeloanthony,cjmccollum,hassanwhiteside
61,22019,1610612757,POR,Portland Trail Blazers,21900862,2020-02-25,POR vs. BOS,L,240,106,38,85,0.447,13,31,0.419,17,23,0.7390000000000001,8,33,41,24,8,4,17,15,-12.0,trevorariza,garytrentjr,carmeloanthony,cjmccollum,hassanwhiteside,danieltheis,jaysontatum,gordonhayward,jaylenbrown,marcussmart
62,22019,1610612757,POR,Portland Trail Blazers,21900848,2020-02-23,POR vs. DET,W,238,107,41,84,0.488,13,30,0.433,12,19,0.632,9,32,41,20,6,5,10,18,3.0,trevorariza,garytrentjr,carmeloanthony,cjmccollum,hassanwhiteside,thonmaker,sekoudoumbouya,derrickrose,tonysnell,sviatoslavmykhailiuk
63,22019,1610612757,POR,Portland Trail Blazers,21900834,2020-02-21,POR vs. NOP,L,241,115,43,94,0.457,10,27,0.37,19,25,0.76,13,33,46,20,7,9,14,22,-13.0,trevorariza,garytrentjr,carmeloanthony,cjmccollum,hassanwhiteside,derrickfavors,jrueholiday,lonzoball,zionwilliamson,brandoningram
64,22019,1610612757,POR,Portland Trail Blazers,21900812,2020-02-12,POR @ MEM,L,239,104,36,97,0.371,13,37,0.35100000000000003,19,24,0.792,16,35,51,21,7,3,11,16,-7.0,jamorant,jarenjacksonjr,dillonbrooks,jonasvalanciunas,kyleanderson,trevorariza,damianlillard,carmeloanthony,cjmccollum,hassanwhiteside
65,22019,1610612757,POR,Portland Trail Blazers,21900804,2020-02-11,POR @ NOP,L,241,117,44,93,0.473,7,29,0.24100000000000002,22,28,0.7859999999999999,12,28,40,21,5,3,14,26,-21.0,derrickfavors,jrueholiday,joshhart,lonzoball,zionwilliamson,trevorariza,damianlillard,carmeloanthony,cjmccollum,hassanwhiteside
66,22019,1610612757,POR,Portland Trail Blazers,21900792,2020-02-09,POR vs. MIA,W,240,115,40,85,0.47100000000000003,19,42,0.452,16,22,0.727,5,38,43,20,9,6,14,22,6.0,trevorariza,damianlillard,carmeloanthony,cjmccollum,hassanwhiteside,kendricknunn,derrickjonesjr,duncanrobinson,kellyolynyk,bamadebayo
67,22019,1610612757,POR,Portland Trail Blazers,21900776,2020-02-07,POR @ UTA,L,240,114,44,97,0.45399999999999996,17,40,0.425,9,14,0.643,10,33,43,14,9,4,9,18,-3.0,donovanmitchell,rudygobert,bojanbogdanovic,joeingles,mikeconley,trevorariza,calebswanigan,damianlillard,carmeloanthony,cjmccollum
68,22019,1610612757,POR,Portland Trail Blazers,21900767,2020-02-06,POR vs. SAS,W,239,125,49,92,0.5329999999999999,18,37,0.486,9,12,0.75,9,41,50,28,2,6,12,19,8.0,trevorariza,damianlillard,carmeloanthony,cjmccollum,hassanwhiteside,treylyles,dejountemurray,demarderozan,lamarcusaldridge,brynforbes
69,22019,1610612757,POR,Portland Trail Blazers,21900753,2020-02-04,POR @ DEN,L,239,99,36,91,0.396,9,31,0.29,18,22,0.818,9,27,36,16,5,6,9,22,-28.0,jeramigrant,willbarton,garyharris,jamalmurray,nikolajokic,trevorariza,damianlillard,carmeloanthony,cjmccollum,hassanwhiteside
70,22019,1610612757,POR,Portland Trail Blazers,21900735,2020-02-01,POR vs. UTA,W,240,124,47,92,0.511,15,29,0.517,15,18,0.833,14,37,51,20,4,5,12,19,17.0,trevorariza,damianlillard,carmeloanthony,cjmccollum,hassanwhiteside,donovanmitchell,rudygobert,bojanbogdanovic,joeingles,mikeconley
71,22019,1610612757,POR,Portland Trail Blazers,21900726,2020-01-31,POR @ LAL,W,240,127,49,97,0.505,13,36,0.361,16,21,0.762,6,34,40,25,10,8,5,22,8.0,lebronjames,anthonydavis,dannygreen,averybradley,javalemcgee,wenyengabriel,trevorariza,damianlillard,cjmccollum,hassanwhiteside
72,22019,1610612757,POR,Portland Trail Blazers,21900712,2020-01-29,POR vs. HOU,W,238,125,46,89,0.517,13,36,0.361,20,27,0.741,10,40,50,24,8,8,18,20,13.0,trevorariza,damianlillard,carmeloanthony,cjmccollum,hassanwhiteside,russellwestbrook,jamesharden,pjtucker,ericgordon,clintcapela
73,22019,1610612757,POR,Portland Trail Blazers,21900692,2020-01-26,POR vs. IND,W,240,139,49,90,0.544,20,35,0.5710000000000001,21,25,0.84,12,31,43,27,1,7,15,21,10.0,trevorariza,damianlillard,carmeloanthony,cjmccollum,hassanwhiteside,jeremylamb,domantassabonis,jakarrsampson,tjmcconnell,tjwarren
74,22019,1610612757,POR,Portland Trail Blazers,21900668,2020-01-23,POR vs. DAL,L,239,125,46,91,0.505,21,39,0.5379999999999999,12,15,0.8,11,32,43,20,4,4,12,20,-8.0,trevorariza,damianlillard,anferneesimons,carmeloanthony,hassanwhiteside,timhardawayjr,kristapsporzingis,lukadoncic,sethcurry,dorianfinneysmith
75,22019,1610612757,POR,Portland Trail Blazers,21900652,2020-01-20,POR vs. GSW,W,265,129,44,100,0.44,14,44,0.318,27,30,0.9,12,42,54,21,4,11,12,19,5.0,nassirlittle,damianlillard,anferneesimons,carmeloanthony,hassanwhiteside,williecauleystein,dangelorussell,alecburks,ericpaschall,damionlee
76,22019,1610612757,POR,Portland Trail Blazers,21900635,2020-01-18,POR @ OKC,L,240,106,39,91,0.429,12,32,0.375,16,21,0.762,12,28,40,11,7,7,12,28,-13.0,shaigilgeousalexander,stevenadams,chrispaul,hamidoudiallo,dariusbazley,nassirlittle,damianlillard,anferneesimons,carmeloanthony,hassanwhiteside
77,22019,1610612757,POR,Portland Trail Blazers,21900625,2020-01-17,POR @ DAL,L,240,112,44,85,0.518,9,30,0.3,15,22,0.682,8,32,40,25,6,5,12,22,-8.0,dwightpowell,timhardawayjr,lukadoncic,maxikleber,dorianfinneysmith,damianlillard,kentbazemore,carmeloanthony,cjmccollum,hassanwhiteside
78,22019,1610612757,POR,Portland Trail Blazers,21900611,2020-01-15,POR @ HOU,W,240,117,41,95,0.43200000000000005,11,36,0.306,24,29,0.828,12,46,58,22,6,4,7,19,10.0,russellwestbrook,jamesharden,benmclemore,pjtucker,clintcapela,damianlillard,kentbazemore,carmeloanthony,cjmccollum,hassanwhiteside
79,22019,1610612757,POR,Portland Trail Blazers,21900595,2020-01-13,POR vs. CHA,W,241,115,42,83,0.506,16,37,0.43200000000000005,15,19,0.789,9,38,47,26,4,5,13,21,3.0,damianlillard,kentbazemore,carmeloanthony,cjmccollum,hassanwhiteside,pjwashington,terryrozier,devontegraham,codyzeller,milesbridges
80,22019,1610612757,POR,Portland Trail Blazers,21900583,2020-01-11,POR vs. MIL,L,241,101,37,95,0.389,10,36,0.278,17,21,0.81,8,40,48,17,6,4,13,20,-21.0,anthonytolliver,damianlillard,kentbazemore,carmeloanthony,cjmccollum,wesleymatthews,ericbledsoe,khrismiddleton,giannisantetokounmpo,brooklopez
